path,annotation
audio/train_00050.wav,IT TOOK THEM EIGHT ATTEMPTS TO FINALLY SOLVE THE COMPLEX PUZZLE
audio/train_00051.wav,THE MAGNIFICENT SEVEN IS A CLASSIC WESTERN MOVIE
audio/train_00052.wav,HE HAD TO PAY FOUR TIMES THE NORMAL PRICE FOR THE CONCERT TICKETS
audio/train_00053.wav,SHE RECEIVED NINE BIRTHDAY CARDS IN THE MAIL
audio/train_00054.wav,HE COOKED SIX DIFFERENT DISHES FOR HIS DINNER PARTY
audio/train_00055.wav,HE CAUGHT EIGHT FISH ON THEIR FISHING TRIP
audio/train_00056.wav,SHE ONLY HAD FOUR DAYS TO FINISH THE PROJECT
audio/train_00057.wav,THEY ONLY HAD THREE MINUTES TO COMPLETE THE OBSTACLE COURSE
audio/train_00058.wav,THE SEVEN WONDERS OF THE ANCIENT WORLD ARE AMAZING
audio/train_00059.wav,SHE RECEIVED NINE BIRTHDAY CARDS IN THE MAIL
audio/train_00060.wav,SHE NEEDS TO TAKE TWO PILLS EVERY MORNING FOR HER HEALTH
audio/train_00061.wav,THE TRAIN HAD FOUR STOPS BEFORE REACHING ITS DESTINATION
audio/train_00062.wav,IT TOOK ONE MINUTE FOR THE TEAM TO MAKE THEIR DECISION
audio/train_00063.wav,THEY SAY THAT ONE SHOULD ALWAYS TREAT OTHERS WITH RESPECT
audio/train_00064.wav,SHE WAS ABLE TO RUN A MARATHON WITH ZERO TRAINING
audio/train_00065.wav,HE HAD TO TAKE SIX DIFFERENT MEDICATIONS TO MANAGE HIS CONDITION
audio/train_00066.wav,THEY WERE SEVEN MILES INTO THEIR HIKE
audio/train_00067.wav,HE WANTED TO BUY ONE BOOK FROM THE STORE
audio/train_00068.wav,HE HELD UP THREE FINGERS TO INDICATE HOW MANY CUPCAKES HE WANTED
audio/train_00069.wav,HE WORKED FOR NINE DIFFERENT COMPANIES IN HIS CAREER
audio/train_00070.wav,WE ONLY NEED ONE MORE PERSON TO COMPLETE THE TEAM
audio/train_00071.wav,THEY ONLY HAD THREE MINUTES TO COMPLETE THE OBSTACLE COURSE
audio/train_00072.wav,THEY ONLY HAVE ONE GOAL IN MIND WHICH IS TO WIN THE GAME
audio/train_00073.wav,THEY HAD SEVEN SIBLINGS IN THEIR FAMILY
audio/train_00074.wav,THE TRAIN HAD FOUR STOPS BEFORE REACHING ITS DESTINATION
audio/train_00075.wav,THEY TOOK FIVE PHOTOGRAPHS OF THE SUNSET
audio/train_00076.wav,THE SCHOOL HAD FOUR DIFFERENT SPORTS TEAMS THAT STUDENTS COULD JOIN
audio/train_00077.wav,WE SAW THREE SHOOTING STARS DURING OUR CAMPING TRIP LAST NIGHT
audio/train_00078.wav,HE NEEDED TWO MORE POINTS TO WIN THE GAME
audio/train_00079.wav,SHE ATE EIGHT PIECES OF DUMPLINGS AND WAS COMPLETELY STUFFED
audio/train_00080.wav,THEY SPENT FIVE DAYS CAMPING IN THE WILD
audio/train_00081.wav,THE BUS ARRIVES EVERY TWO HOURS AT THIS STATION
audio/train_00082.wav,THE PROJECT WILL TAKE TWO MONTHS TO COMPLETE
audio/train_00083.wav,SHE BOUGHT THREE NEW DRESSES FOR THE WEDDING
audio/train_00084.wav,THEY ONLY HAD SEVEN MINUTES TO GET READY BEFORE LEAVING
audio/train_00085.wav,THERE IS ONLY ONE RULE AND THAT IS NO CHEATING
audio/train_00086.wav,HE CAUGHT EIGHT FISH ON THEIR FISHING TRIP
audio/train_00087.wav,THERE CAN ONLY BE ONE WINNER FOR THE CONTEST
audio/train_00088.wav,THEY STAYED IN THE HOTEL ROOM FOR SEVEN NIGHTS
audio/train_00089.wav,THEY HAD TO CLIMB FOUR FLIGHTS OF STAIRS TO REACH THE TOP
audio/train_00090.wav,SHE DONATED NINE BAGS OF CLOTHES TO CHARITY
audio/train_00091.wav,SHE RECEIVED NINE BIRTHDAY CARDS IN THE MAIL
audio/train_00092.wav,SHE SPENT SIX WEEKS VOLUNTEERING AT AN ANIMAL SHELTER
audio/train_00093.wav,THE SEVEN SAMURAI IS A FAMOUS JAPANESE FILM
audio/train_00094.wav,THEY FOUND SEVEN DIFFERENT SPECIES OF FLOWERS IN THE GARDEN
audio/train_00095.wav,SHE WON SIX AWARDS FOR HER ARTWORK
audio/train_00096.wav,THE BUS ARRIVES EVERY TWO HOURS AT THIS STATION
audio/train_00097.wav,SHE IS ONE OF THE MOST GENEROUS PEOPLE I HAVE EVER MET
audio/train_00098.wav,WE ONLY HAVE ONE LIFE TO LIVE SO MAKE IT COUNT
audio/train_00099.wav,HE HAD TO COMPLETE FOUR LAPS AROUND THE TRACK TO FINISH THE RACE
audio/train_00100.wav,THEY FOUND A NINE LETTER WORD IN THE CROSSWORD PUZZLE
audio/train_00101.wav,HE HAD TO CHOOSE BETWEEN TWO JOB OFFERS
audio/train_00102.wav,IT TOOK THEM EIGHT ATTEMPTS TO FINALLY SOLVE THE COMPLEX PUZZLE
audio/train_00103.wav,THE RECIPE CALLS FOR FIVE CUPS OF FLOUR
audio/train_00104.wav,WE HAD TO WALK FIVE MILES TO GET TO THE NEAREST TOWN
audio/train_00105.wav,THE SEVEN SAMURAI IS A FAMOUS JAPANESE FILM
audio/train_00106.wav,HE WAS ONLY ONE STEP AWAY FROM DISCOVERING THE TRUTH
audio/train_00107.wav,TOOK A TWO HOUR TRAIN RIDE TO GET TO THE BEACH
audio/train_00108.wav,HE COULD ONLY AFFORD TO BUY FOUR ITEMS FROM THE STORE
audio/train_00109.wav,THE BOOK IS DIVIDED INTO FIVE CHAPTERS EACH WITH A DIFFERENT THEME
audio/train_00110.wav,HE WAS ABLE TO SOLVE THE PUZZLE IN JUST FIVE MOVES
audio/train_00111.wav,NEEDED TO ORDER TWO MORE BOXES OF PAPER FOR THE OFFICE
audio/train_00112.wav,THE TEAM HAD ZERO CHANCE OF WINNING THE GAME
audio/train_00113.wav,THEY HAD EIGHT DIFFERENT VARIETIES OF CHEESE ON THE TABLE
audio/train_00114.wav,THERE WERE FOUR OPTIONS TO CHOOSE FROM
audio/train_00115.wav,THEY SAY THAT FIVE IS THE MAGIC NUMBER
audio/train_00116.wav,THEY HAD TO CLIMB EIGHT FLIGHTS OF STAIRS TO GET TO THEIR APARTMENT
audio/train_00117.wav,THERE WERE FOUR OPTIONS TO CHOOSE FROM
audio/train_00118.wav,THEY DIVIDED THE CAKE INTO TWO EQUAL PORTIONS
audio/train_00119.wav,THE BOOK WAS DIVIDED INTO THREE PARTS
audio/train_00120.wav,SHE ONLY HAD FIVE DOLLARS LEFT IN HER WALLET
audio/train_00121.wav,HAD TO WORK EIGHT HOUR SHIFTS AT THE HOSPITAL
audio/train_00122.wav,SHE SPENT TWO HOURS CLEANING HER APARTMENT
audio/train_00123.wav,HE COOKED SIX DIFFERENT DISHES FOR HIS DINNER PARTY
audio/train_00124.wav,HE WORKED FOR NINE DIFFERENT COMPANIES IN HIS CAREER
audio/train_00125.wav,SHE DECIDED TO GO ON A ZERO SUGAR DIET TO IMPROVE HER HEALTH
audio/train_00126.wav,SHE WAS SIX YEARS OLD WHEN SHE LEARNT HOW TO RIDE A BICYCLE
audio/train_00127.wav,THEY WERE ABLE TO SURVIVE THE HARSH WINTER CONDITIONS WITH ZERO INJURIES
audio/train_00128.wav,THE MOVIE RECEIVED FIVE STARS FROM THE CRITICS
audio/train_00129.wav,IT WOULD TAKE ONE DAY TO DRIVE TO HER DESTINATION
audio/train_00130.wav,THEY SAY ONE SHOULD ALWAYS FOLLOW THEIR DREAMS
audio/train_00131.wav,THEY WAITED IN LINE FOR FIVE HOURS TO GET TICKETS TO THE CONCERT
audio/train_00132.wav,THE TEAM HAD ZERO CHANCE OF WINNING THE GAME
audio/train_00133.wav,HE DIVIDED THE PIE INTO FOUR EQUAL PIECES
audio/train_00134.wav,THE HOTEL ROOM HAS FOUR PILLOWS ON EACH BED
audio/train_00135.wav,THEY HAD TO CANCEL THE EVENT DUE TO ZERO TICKET SALES
audio/train_00136.wav,THEY HAD TO DRIVE SIX HOURS TO ATTEND A FAMILY REUNION
audio/train_00137.wav,THE MAGAZINE HAD FOUR ARTICLES ON DIFFERENT TOPICS
audio/train_00138.wav,HE WAS ABLE TO COMPLETE THE MARATHON IN JUST TWO HOURS
audio/train_00139.wav,THE PAINTING WAS DIVIDED INTO THREE PANELS
audio/train_00140.wav,SHE ONLY HAD FIVE MINUTES TO FINISH THE EXAM
audio/train_00141.wav,WE COUNTED TO NINE BEFORE STARTING THE GAME
audio/train_00142.wav,HE HAD TO PAY FOUR TIMES THE NORMAL PRICE FOR THE CONCERT TICKETS
audio/train_00143.wav,WE ONLY HAVE ONE LIFE TO LIVE SO MAKE IT COUNT
audio/train_00144.wav,THEY HAD SEVEN GUESTS AT THE DINNER PARTY
audio/train_00145.wav,THEY GOT A SCORE OF ZERO FOR NOT FOLLOWING THE INSTRUCTIONS
audio/train_00146.wav,THE FIVE FRIENDS WENT ON A ROAD TRIP ACROSS THE COUNTRY
audio/train_00147.wav,THE COMPANY HAD TO LAY OFF THREE EMPLOYEES DUE TO BUDGET CUTS
audio/train_00148.wav,HE PLAYED NINE DIFFERENT MUSICAL INSTRUMENTS
audio/train_00149.wav,THE BUILDING HAD FOUR ENTRANCES
audio/train_00150.wav,GAVE THREE REASONS WHY SHE DID NOT WANT TO GO TO THE PARTY
audio/train_00151.wav,HE WROTE A BOOK WITH NINE CHAPTERS
audio/train_00152.wav,HE BOUGHT A NINE VOLT BATTERY FOR HIS TORCH LIGHT
audio/train_00153.wav,THEY SAY THAT ONE SHOULD ALWAYS TREAT OTHERS WITH RESPECT
audio/train_00154.wav,WE DROVE FOR FIVE HOURS STRAIGHT TO GET TO OUR DESTINATION
audio/train_00155.wav,SHE IS ONE OF THE MOST INSPIRING AUTHORS OF OUR TIME
audio/train_00156.wav,THERE IS A ONE DOLLAR DISCOUNT FOR BUS PASSES TODAY
audio/train_00157.wav,SHE HAD TO COMPLETE FOUR LAPS AROUND THE TRACK TO FINISH THE RACE
audio/train_00158.wav,THE BOOK WAS DIVIDED INTO THREE PARTS
audio/train_00159.wav,THE TRAIN HAD FOUR STOPS BEFORE REACHING ITS DESTINATION
audio/train_00160.wav,HE HAD TO SOLVE THREE MATH PROBLEMS TO PASS THE TEST
audio/train_00161.wav,THE TEAM HAD BEEN TRAINING FOR EIGHT HOURS STRAIGHT
audio/train_00162.wav,HE ALWAYS ORDERS A NINE INCH PIZZA WHEN HE IS HUNGRY
audio/train_00163.wav,HE VISITED NINE COUNTRIES IN A YEAR
audio/train_00164.wav,THEY WERE ABLE TO SOLVE THREE PUZZLES
audio/train_00165.wav,HE WAS ABLE TO FIX THE LEAK IN THE ROOF WITH ZERO ISSUES
audio/train_00166.wav,SHE ATE EIGHT PIECES OF DUMPLINGS AND WAS COMPLETELY STUFFED
audio/train_00167.wav,HE DONATED NINE BAGS OF CLOTHES TO CHARITY
audio/train_00168.wav,SHE WROTE A FIVE PAGE ESSAY ON THE IMPACT OF CLIMATE CHANGE ON MARINE LIFE
audio/train_00169.wav,THEY HEARD THREE LOUD KNOCKS ON THE DOOR IN THE MIDDLE OF THE NIGHT
audio/train_00170.wav,STAYED IN ROOM NINE AT THAT HOTEL
audio/train_00171.wav,SHE HAD TO VISIT THREE DIFFERENT STORES TO FIND THE PERFECT DRESS
audio/train_00172.wav,THEY HAD TO CLIMB FIVE FLIGHTS OF STAIRS TO GET TO THEIR APARTMENT
audio/train_00173.wav,SHE WAS ABLE TO COMPLETE THE PUZZLE WITH ZERO HELP FROM HER FRIENDS
audio/train_00174.wav,HE BOUGHT A NINE VOLT BATTERY FOR HIS TORCH LIGHT
audio/train_00175.wav,THEY WERE ABLE TO FIND THE TWO SOCKS THAT HAD GONE MISSING
audio/train_00176.wav,THEY HAD ZERO TOLERANCE FOR BULLYING IN THEIR SCHOOL
audio/train_00177.wav,THEY HAD TO CANCEL THE EVENT DUE TO ZERO TICKET SALES
audio/train_00178.wav,THEY WERE ABLE TO SURVIVE THE HARSH WINTER CONDITIONS WITH ZERO INJURIES
audio/train_00179.wav,THEY WERE LUCKY TO ESCAPE THE BUILDING WITH ZERO INJURIES
audio/train_00180.wav,IT TOOK THEM EIGHT ATTEMPTS TO FINALLY SOLVE THE COMPLEX PUZZLE
audio/train_00181.wav,SHE NEEDS TO TAKE TWO PILLS EVERY MORNING FOR HER HEALTH
audio/train_00182.wav,THE COMPUTER PROGRAM TOOK EIGHT HOURS TO RUN
audio/train_00183.wav,WE COUNTED TO NINE BEFORE STARTING THE GAME
audio/train_00184.wav,THE MOVIE RECEIVED FIVE STARS FROM THE CRITICS
audio/train_00185.wav,SHE HAD TO ANSWER FOUR INTERVIEW QUESTIONS TO GET THE JOB
audio/train_00186.wav,AN OCTOPUS HAVE EIGHT TENTACLES
audio/train_00187.wav,THE RECIPE REQUIRES TWO CUPS OF FLOUR
audio/train_00188.wav,THEY WERE LUCKY TO ESCAPE THE BUILDING WITH ZERO INJURIES
audio/train_00189.wav,THE MOVIE WAS DIVIDED INTO FOUR PARTS
audio/train_00190.wav,THEY WERE ABLE TO COMPLETE THE MARATHON IN JUST SEVEN HOURS
audio/train_00191.wav,WE HAVE NINE DAYS UNTIL THE DEADLINE
audio/train_00192.wav,WE SAW TWO DOLPHINS SWIMMING IN THE OCEAN THIS MORNING
audio/train_00193.wav,THERE IS ONLY ONE RULE AND THAT IS NO CHEATING
audio/train_00194.wav,SHE WON NINE MATCHES IN A ROW
audio/train_00195.wav,THEY WERE ABLE TO CATCH SEVEN FISH IN THE LAKE
audio/train_00196.wav,THEY HAD SEVEN DAYS TO PREPARE FOR THE PRESENTATION
audio/train_00197.wav,THE PLANT HAD GROWN FOUR INCHES SINCE SHE LAST MEASURED IT
audio/train_00198.wav,THEY WERE ABLE TO ESCAPE THE ROOM WITH ZERO MINUTES TO SPARE
audio/train_00199.wav,HE WON FIVE CONSECUTIVE MATCHES IN THE TENNIS TOURNAMENT
audio/train_00200.wav,THE STORE WAS OPEN SEVEN DAYS A WEEK
audio/train_00201.wav,THEY HAD TO SOLVE SEVEN RIDDLES TO ENTER THE CASTLE
audio/train_00202.wav,HE WAS THE ONLY ONE WHO BELIEVED IN HER
audio/train_00203.wav,HE HAD TO GIVE A PRESENTATION TO A GROUP OF SIX EXECUTIVES
audio/train_00204.wav,THEY HAD TO SOLVE SEVEN RIDDLES TO ENTER THE CASTLE
audio/train_00205.wav,SHE HAD TO VISIT THREE DIFFERENT STORES TO FIND THE PERFECT DRESS
audio/train_00206.wav,WE HAVE NINE DAYS UNTIL THE DEADLINE
audio/train_00207.wav,THEY SAY ONE SHOULD ALWAYS FOLLOW THEIR DREAMS
audio/train_00208.wav,SHE GAVE THREE REASONS WHY SHE DID NOT WANT TO GO TO THE PARTY
audio/train_00209.wav,THE STORE WAS OPEN SEVEN DAYS A WEEK
audio/train_00210.wav,THEY DIVIDED THE CAKE INTO TWO EQUAL PORTIONS
audio/train_00211.wav,THE BUILDING HAD FOUR ENTRANCES
audio/train_00212.wav,WE HAVE TO BE AT THE MEETING BY NINE TOMORROW
audio/train_00213.wav,HE WON FIVE CONSECUTIVE MATCHES IN THE TENNIS TOURNAMENT
audio/train_00214.wav,SHE BOUGHT A SET OF FIVE CANDLES WITH DIFFERENT SCENTS
audio/train_00215.wav,THEY SPENT EIGHT HOURS DRIVING ACROSS THE COUNTRY
audio/train_00216.wav,THEY HAD TO SOLVE SEVEN RIDDLES TO ENTER THE CASTLE
audio/train_00217.wav,THE PROJECT WILL TAKE TWO MONTHS TO COMPLETE
audio/train_00218.wav,WE NEED TO LEAVE FOR THE TRAIN STATION IN FOUR HOURS
audio/train_00219.wav,THERE ARE FOUR SEASONS IN A YEAR
audio/train_00220.wav,THEY WERE ONLY EIGHT PAGES AWAY FROM FINISHING THE BOOK
audio/train_00221.wav,HAD TO CROSS FOUR RIVERS TO GET TO THE OTHER SIDE
audio/train_00222.wav,THEY ONLY HAD THREE MINUTES TO COMPLETE THE OBSTACLE COURSE
audio/train_00223.wav,THE MOVIE WAS DIVIDED INTO FOUR PARTS
audio/train_00224.wav,SHE IS ONE OF THE MOST GENEROUS PEOPLE I HAVE EVER MET
audio/train_00225.wav,THEY WAITED FOR THREE HOURS IN THE QUEUE TO GET TICKETS FOR THE CONCERT
audio/train_00226.wav,HE WON FIVE CONSECUTIVE MATCHES IN THE TENNIS TOURNAMENT
audio/train_00227.wav,HE IS ONE OF THE MOST INSPIRING TEACHERS IN THE SCHOOL
audio/train_00228.wav,THE SEVEN WONDERS OF THE ANCIENT WORLD ARE AMAZING
audio/train_00229.wav,HAD TO CLIMB FIVE FLIGHTS OF STAIRS TO GET TO THEIR APARTMENT
audio/train_00230.wav,THE MOVIE RECEIVED FIVE STARS FROM THE CRITICS
audio/train_00231.wav,THEY HAD TO CLIMB FOUR FLIGHTS OF STAIRS TO REACH THE TOP
audio/train_00232.wav,THEY WERE ABLE TO RUN SEVEN MILES WITHOUT STOPPING
audio/train_00233.wav,HE WAS ABLE TO FIX THE LEAK IN THE ROOF WITH ZERO ISSUES
audio/train_00234.wav,SHE HAD TO COMPLETE FOUR LAPS AROUND THE TRACK TO FINISH THE RACE
audio/train_00235.wav,THEY SPENT SIX MONTHS RENOVATING THEIR HOUSE
audio/train_00236.wav,SHE RECEIVED NINE BIRTHDAY CARDS IN THE MAIL
audio/train_00237.wav,THE ARTIST HAD BEEN WORKING ON THE PAINTING FOR EIGHT MONTHS
audio/train_00238.wav,SHE HAD TO ANSWER FOUR INTERVIEW QUESTIONS TO GET THE JOB
audio/train_00239.wav,HAD TO GET UP AT EIGHT EVERY MORNING TO CATCH THE BUS TO WORK
audio/train_00240.wav,THERE IS ONLY ONE RULE AND THAT IS NO CHEATING
audio/train_00241.wav,THE MAGAZINE HAD FOUR ARTICLES ON DIFFERENT TOPICS
audio/train_00242.wav,THEY WERE SEVEN MILES INTO THEIR HIKE
audio/train_00243.wav,THEY HAD TO WALK SIX MILES TO GET TO THE NEAREST TOWN
audio/train_00244.wav,THEY HAD TO WAIT EIGHT DAYS FOR THEIR PASSPORT TO ARRIVE
audio/train_00245.wav,THE MAGNIFICENT SEVEN IS A CLASSIC WESTERN MOVIE
audio/train_00246.wav,THE PAINTING FEATURED THREE BOATS ON A CALM BLUE SEA
audio/train_00247.wav,WE ONLY NEED ONE MORE PERSON TO COMPLETE THE TEAM
audio/train_00248.wav,SHE DONATED NINE BAGS OF CLOTHES TO CHARITY
audio/train_00249.wav,SHE FELT ZERO ANXIETY WHEN SPEAKING IN FRONT OF LARGE AUDIENCES
audio/train_00250.wav,SAY ONE SHOULD ALWAYS FOLLOW THEIR DREAMS
audio/train_00251.wav,THEY GOT A SCORE OF ZERO FOR NOT FOLLOWING THE INSTRUCTIONS
audio/train_00252.wav,THEY WERE ABLE TO FIND THE TWO SOCKS THAT HAD GONE MISSING
audio/train_00253.wav,WAITED FOR THREE HOURS IN THE QUEUE TO GET TICKETS FOR THE CONCERT
audio/train_00254.wav,SHE HAD SIX DIFFERENT JOBS BEFORE FINDING HER DREAM JOB
audio/train_00255.wav,SHE HAD TO STUDY SIX DIFFERENT SUBJECTS FOR HER UPCOMING EXAMS
audio/train_00256.wav,WE ONLY NEED ONE MORE PERSON TO COMPLETE THE TEAM
audio/train_00257.wav,SHE ONLY HAD FIVE MINUTES TO FINISH THE EXAM
audio/train_00258.wav,THEY HAD TO CLIMB FIVE FLIGHTS OF STAIRS TO GET TO THEIR APARTMENT
audio/train_00259.wav,THE GAME HAD THREE LEVELS OF DIFFICULTY
audio/train_00260.wav,HE COOKED SIX DIFFERENT DISHES FOR HIS DINNER PARTY
audio/train_00261.wav,HE WROTE A BOOK WITH NINE CHAPTERS
audio/train_00262.wav,THEY DONATED FIVE PERCENT OF THEIR EARNINGS TO A LOCAL CHARITY EVERY MONTH
audio/train_00263.wav,WE ONLY HAVE ONE LIFE TO LIVE SO MAKE IT COUNT
audio/train_00264.wav,THE COMPANY HAD BEEN IN BUSINESS FOR FOUR DECADES
audio/train_00265.wav,THEY WAITED FOR THREE HOURS IN THE QUEUE TO GET TICKETS FOR THE CONCERT
audio/train_00266.wav,THEY STAYED IN ROOM NINE AT THAT HOTEL
audio/train_00267.wav,SHE IS ONE OF THE MOST GENEROUS PEOPLE I HAVE EVER MET
audio/train_00268.wav,SHE HAD TO STUDY SIX DIFFERENT SUBJECTS FOR HER UPCOMING EXAMS
audio/train_00269.wav,SHE HAD TO GET UP AT EIGHT EVERY MORNING TO CATCH THE BUS TO WORK
audio/train_00270.wav,HE HAD TO TAKE SIX DIFFERENT MEDICATIONS TO MANAGE HIS CONDITION
audio/train_00271.wav,THE PROJECT WILL TAKE TWO MONTHS TO COMPLETE
audio/train_00272.wav,HE RECEIVED SIX NAME CARDS IN THE COMPANY EVENT TODAY
audio/train_00273.wav,THEY SPENT SIX MONTHS RENOVATING THEIR HOUSE
audio/train_00274.wav,HE HAD TO GIVE A SPEECH IN FRONT OF FIVE HUNDRED PEOPLE
audio/train_00275.wav,WE HAVE NINE DAYS UNTIL THE DEADLINE
audio/train_00276.wav,SHE NEEDS TO TAKE TWO PILLS EVERY MORNING FOR HER HEALTH
audio/train_00277.wav,SHE BOUGHT THREE NEW DRESSES FOR THE WEDDING
audio/train_00278.wav,HE ALWAYS BELIEVED THAT ONE DAY HE WOULD MAKE A DIFFERENCE IN THE WORLD
audio/train_00279.wav,THE BUS ARRIVES EVERY TWO HOURS AT THIS STATION
audio/train_00280.wav,THEY WATCHED A FEW MOVIES THAT LASTED NINE HOURS LONG
audio/train_00281.wav,HE HAD TO SOLVE THREE MATH PROBLEMS TO PASS THE TEST
audio/train_00282.wav,HAD TO STUDY SIX DIFFERENT SUBJECTS FOR HER UPCOMING EXAMS
audio/train_00283.wav,THE RECIPE CALLS FOR FOUR CUPS OF FLOUR
audio/train_00284.wav,THEY HAD TO MAKE EIGHT DIFFERENT STOPS ON THEIR ROAD TRIP
audio/train_00285.wav,THEY SPENT SIX MONTHS RENOVATING THEIR HOUSE
audio/train_00286.wav,WE COUNTED TO NINE BEFORE STARTING THE GAME
audio/train_00287.wav,THEY HAD TO CROSS FOUR RIVERS TO GET TO THE OTHER SIDE
audio/train_00288.wav,HE WAS ABLE TO LIFT A HEAVY WEIGHT WITH ZERO STRAIN ON HIS BACK
audio/train_00289.wav,THE COMPUTER PROGRAM TOOK EIGHT HOURS TO RUN
audio/train_00290.wav,SHE GAVE THREE REASONS WHY SHE DID NOT WANT TO GO TO THE PARTY
audio/train_00291.wav,HE IS THE ONLY ONE WHO CAN SOLVE THE PUZZLE
audio/train_00292.wav,THEY READ SEVEN BOOKS OVER THE SUMMER AND FELT PROUD OF THEIR ACCOMPLISHMENT
audio/train_00293.wav,THEY SPENT SIX MONTHS RENOVATING THEIR HOUSE
audio/train_00294.wav,HE BOUGHT A NINE VOLT BATTERY FOR HIS TORCH LIGHT
audio/train_00295.wav,THEY WERE ABLE TO FIND THE TWO SOCKS THAT HAD GONE MISSING
audio/train_00296.wav,THEY NEEDED THREE MORE PLAYERS TO FORM A FULL TEAM
audio/train_00297.wav,SHE IS ONE OF THE MOST GENEROUS PEOPLE I HAVE EVER MET
